object,type,classification,runtime_usage_count,migration_usage_count,documentation_usage_count,other_usage_count,runtime_files,migration_files,documentation_files,likely_columns_from_runtime_selects,direct_patterns
admin_audit_logs,table,runtime_used,7,3,5,0,app/backend/app/api/admin_scrape.py; app/backend/app/api/admin_trust.py; app/backend/app/api/eligibility.py; app/backend/app/api/notifications.py; app/backend/tests/test_admin_mutations.py; app/backend/tests/test_admin_queue.py; app/backend/tests/test_eligibility_api_integration.py,app/supabase/migrations/019_admin_rbac_audit.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/071_trust_pipeline_hardening.sql,docs/engineering/admin-strategy.md; docs/engineering/runbook.md; docs/feature-registry.md; docs/schema/supabase -Schema.md; memory/PRD.md,"action, actor_email, actor_id, created_at, document_id, id, new_value, notes, official_domain, old_value, organizations","py_table, sql_public"
admin_settings,table,runtime_used,4,1,2,0,app/backend/app/api/notifications.py; app/backend/app/notifications/__init__.py; app/backend/app/notifications/dispatcher.py; app/frontend/src/pages/admin/Notifications.jsx,app/supabase/migrations/032_admin_settings.sql,docs/schema/supabase -Schema.md; memory/PRD.md,"alert_type, email_sent, id, is_read, priority, recruitment_id, user_id, value","py_table, sql_public"
age_criteria,table,runtime_used,9,3,7,0,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/app/scraping/runner.py; app/backend/tests/eligibility/test_engine.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py; app/backend/tests/test_scrape_runner_promote.py,app/supabase/migrations/007_scrape_queue_data_quality.sql; app/supabase/migrations/017_scraper_trust_evidence.sql; app/supabase/migrations/025_admin_promote_recruitment_payload.sql,app/reference/MIGRATIONS.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,"extracted_data, id, status","js_from, py_table, sql_public"
aggregator_listings,table,migration_only_or_indirect,0,1,3,0,,app/supabase/migrations/044_aggregator_candidate_layers.sql,docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,,sql_public
ai_action_policies,table,migration_only_or_indirect,0,1,4,0,,app/supabase/migrations/035_ai_action_policies.sql,docs/engineering/admin-strategy.md; docs/engineering/ai-strategy.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
ai_jobs,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/020_ai_infrastructure.sql,docs/schema/supabase -Schema.md,,sql_public
ai_prompt_versions,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/020_ai_infrastructure.sql,docs/schema/supabase -Schema.md,,sql_public
ai_review_queue,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/020_ai_infrastructure.sql,docs/schema/supabase -Schema.md,,sql_public
alert_deliveries,table,docs_only_review,0,0,1,0,,,docs/schema/supabase -Schema.md,,sql_public
alert_events,table,migration_only_or_indirect,0,2,1,0,,app/supabase/migrations/003_v_notification_feed.sql; app/supabase/migrations/010_notification_alerts_unique_fanout.sql,docs/schema/supabase -Schema.md,,sql_public
