object,type,direct_supabase_usage_count,plain_text_usage_count,migration_usage_count,direct_supabase_usage_files,plain_text_usage_files,migration_usage_files
admin_audit_logs,table,9,13,3,app/backend/app/api/admin_scrape.py; app/backend/app/api/admin_trust.py; app/backend/app/api/eligibility.py; app/backend/app/api/notifications.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/019_admin_rbac_audit.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/071_trust_pipeline_hardening.sql; docs/schema/supabase -Schema.md,app/backend/app/api/admin_scrape.py; app/backend/app/api/admin_trust.py; app/backend/app/api/eligibility.py; app/backend/app/api/notifications.py; app/backend/tests/test_admin_mutations.py; app/backend/tests/test_admin_queue.py; app/backend/tests/test_eligibility_api_integration.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/admin-strategy.md; docs/engineering/runbook.md; docs/feature-registry.md; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/019_admin_rbac_audit.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/071_trust_pipeline_hardening.sql
admin_settings,table,4,7,1,app/backend/app/notifications/dispatcher.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/032_admin_settings.sql; docs/schema/supabase -Schema.md,app/backend/app/api/notifications.py; app/backend/app/notifications/__init__.py; app/backend/app/notifications/dispatcher.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/frontend/src/pages/admin/Notifications.jsx; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/032_admin_settings.sql
age_criteria,table,4,17,3,app/backend/app/scraping/runner.py; app/docs/supabase(Govt Exam copilot)-Schema.md; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/app/scraping/runner.py; app/backend/tests/eligibility/test_engine.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py; app/backend/tests/test_scrape_runner_promote.py; app/docs/supabase(Govt Exam copilot)-Schema.md; app/reference/MIGRATIONS.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,app/supabase/migrations/007_scrape_queue_data_quality.sql; app/supabase/migrations/017_scraper_trust_evidence.sql; app/supabase/migrations/025_admin_promote_recruitment_payload.sql
aggregator_listings,table,3,4,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/044_aggregator_candidate_layers.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,app/supabase/migrations/044_aggregator_candidate_layers.sql
ai_action_policies,table,5,5,1,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/035_ai_action_policies.sql; docs/engineering/admin-strategy.md; docs/engineering/ai-strategy.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/engineering/admin-strategy.md; docs/engineering/ai-strategy.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,app/supabase/migrations/035_ai_action_policies.sql
ai_jobs,table,2,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/020_ai_infrastructure.sql
ai_prompt_versions,table,2,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/020_ai_infrastructure.sql
ai_review_queue,table,2,2,1,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/020_ai_infrastructure.sql
alert_deliveries,table,2,2,0,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,
alert_events,table,4,2,2,app/docs/supabase(Govt Exam copilot)-Schema.md; app/supabase/migrations/003_v_notification_feed.sql; app/supabase/migrations/010_notification_alerts_unique_fanout.sql; docs/schema/supabase -Schema.md,app/docs/supabase(Govt Exam copilot)-Schema.md; docs/schema/supabase -Schema.md,app/supabase/migrations/003_v_notification_feed.sql; app/supabase/migrations/010_notification_alerts_unique_fanout.sql
